name,question,response
uber,"Alexa,for a different car type if you 'd like try saying things like where 's my ride what can I do for",Uber skill can help you request a ride check your ride status or cancel the ride and Rex will be requested by default but you can ask for a different car type if you would like try saying things like ordering
uber,"Alexa,where 's my ride ",you don't have any rides requested at the moment
uber,"Alexa,open uber",first you'll need to set your default location for the Uber skill would you like to use your Uber home address for this
uber,"Alexa, stop",have a nice day
kayak,"Alexa, open kayak",welcome back what would you like to do welcome back what would you like to do
kayak,"Alexa,open kayak",I can help you find flight hotel and cars you can also ask me to track a flight what would you like to do
kayak,"Alexa,where your travel budget can take you ",I can help you find flight hotels and cars you can also ask me to track a flight what would you like to do
kayak,"Alexa,things like how much does it cost",I can help you find flight hotel and cars you can also ask me to track a flight what would you like to do would you like to
kayak,"Alexa,how much does it cost to San Fransico",I can help you find flight hotels and cars you can also ask me to track a flight what would you like to do
kayak,"Alexa, stop",thanks for using kayak
Trainer Tips,"Alexa, open Trainer Tips",welcome Trainor I can help you choose the right team for battle ask me about a type strengths or weaknesses or ass
Trainer Tips,"Alexa,me about the strengths",sorry I didn't recognize that type use one of the 18 battle types try what's weak against fire what do you want to know
Trainer Tips,"Alexa,fire",fire types are weak against water ground and rock type attacks
Trainer Tips,"Alexa,what 's best against fairy types",fairy types are weak against poison and Steel type attacks Alexa I can help you choose the right team for battle ask me
Trainer Tips,"Alexa,weaknesses of any battle type like fire",fire types are weak against water ground and rock type attacks
Trainer Tips,"Alexa,open trainer tips",Ghost types are immune to to attack or types normal and fighting who you going to call
Trainer Tips,"Alexa, stop",exiting trainer tips
campbell's kitchen,"Alexa, open campbell's kitchen",welcome to Campbell's Kitchen what kind of recipe are you looking to make today
campbell's kitchen,"Alexa,open campbell's kitchen",the campbellskitchen we want you to spend more time with the people who matter and less worrying what should I make with flavor seal of brand to trust in the recipes you're searching for right now we've got the answer and now you do too
campbell's kitchen,"Alexa,recommend recipes within 15 minutes",I got a lot of recipes if you provided this tie that will help narrow down the list do you want to provide a dish type
campbell's kitchen,"Alexa,search fries",I got a lot of recipes if you provide a dish type that will help narrow down the list do you want to provide a dish type
campbell's kitchen,"Alexa,search for recipes",okay what are you looking to make today I can offer delicious recipes for dinners side dishes desserts and many other popular
campbell's kitchen,"Alexa, stop",okay have a great meal and come back by Campbell's Kitchen soon for more great recipes featuring your favorite brand
All recipes,"Alexa, open All recipes",welcome to all recipes you can search for a recipe in your favorites get the recipe of the day or search for a new recipe what would you like to do
All recipes,"Alexa,open all recipes",sorry I didn't get that what do you want to search for what do you want to search for
All recipes,"Alexa,search fries",searching for fries I found hundreds of results my recommendation is fry sauce recipe it has 4.5 out of 5 stars with hundreds of reviews and takes 5
All recipes,"Alexa,the recipe of the day",the recipe of the day is breakfast Patty sliders with cheese it has 4.5 out of 5 stars with dozens of reviews and takes 30 minutes would you like to hear the recipe details
All recipes,"Alexa,search for something in your favorites you can also get your previous recipe hear the recipe of the day",I found a fry sauce recipe it has 4.5 out of 5 stars with hundreds of reviews and takes 5 minutes would you like to hear the recipe details
All recipes,"Alexa,get your previous recipe hear the recipe of the day",this is the first recipe in the list you are at fry sauce would you like to repeat this recipe here the next one or start a new search
All recipes,"Alexa, stop",goodbye
Bartender,"Alexa, open Bartender",hi I'm the bartender you can ask me for a drink by name or ingredient or you can just say surprise me
Bartender,"Alexa,open bartender",sorry I couldn't find any cocktails that sound like open bartender how about something else
Bartender,"Alexa,me how to make a drink by saying how do I make a White Russian","I found a drink named white russian, would you like to make it"
Bartender,"Alexa,how do I make a White Russian","I found a drink named white russian, would you like to make it"
Bartender,"Alexa, stop",okay see you next time
Starbucks,"Alexa, open Starbucks",I'm sorry but before I can place your order you have to authorize this skill to help you get started I've added a link to the authorization process in your Alexa app when you're ready
Starbucks,"Alexa,open starbucks",I'm sorry but before I can place your order you have to authorize this skill to help you get started I've added to the authorization process in your Alexa app when you're ready
Starbucks,"Alexa, stop",
Domino's Pizza,"Alexa, open Domino's Pizza",hi welcome to Domino's would you like to place an order or track an order
Domino's Pizza,"Alexa,open domino's pizza",awesome do you want to place your EZ order most recent order or a new order awesome do you want to play
Domino's Pizza,"Alexa,track my order",what phone number did you use for the order what phone number did you use for the order
Domino's Pizza,"Alexa,your most recent order",awesome do you want to place your EZ order most recent order or a new order do you want to place your EZ order
Domino's Pizza,"Alexa, stop",have a good one
Capital One,"Alexa, open Capital One",how to need to finish linking your Capital One account in your Alexa app
Capital One,"Alexa, stop",
7 minute workout,"Alexa, open 7 minute workout",welcome to 7 Minute Workout when you are ready just say start work out when you are ready to be
7 minute workout,"Alexa,open 7 minute workout",sorry I didn't understand what you were trying to say to start a workout say start workout when you are ready to begin
7 minute workout,"Alexa,start work out when you are ready to begin",great let's begin your first exercises jumping jacks 3 2 1
7 minute workout,"Alexa,start workout",great let's begin your first exercises jumping jacks 3 2 1
7 minute workout,"Alexa, stop",goodbye
mayo clinic first aid,"Alexa, open mayo clinic first aid",welcome back to me or forsake what can I help you with what can I help you with
mayo clinic first aid,"Alexa,open mayo clinic first aid",if you suspect an emergency call 911 or your local emergency help number immediately
mayo clinic first aid,"Alexa,how do I treat my baby 's fever",if your baby is less than 3 months old and has a fever it's important to get medical help immediately it can be difficult and the source of the infection
mayo clinic first aid,"Alexa,other situations for example you can ask how do I treat my baby 's fever",if your baby is less than 3 months old and has a fever it's important to get medical help immediately it can be difficult to know how the baby is and the source of the infection infants immune systems haven't developed enough to fight
mayo clinic first aid,"Alexa,tell me about spider bites",spider bites cause only minor injury like the Black Widow and the brown recluse you can usually identify black widow spider by The Hourglass marking on its belly
mayo clinic first aid,"Alexa, stop",cancelling
opening bell,"Alexa, open opening bell",what stock price would you like me to look up a company name like Amazon
opening bell,"Alexa,help",Alpha trading at 1140 6.95 down 0.35%
opening bell,"Alexa,Amazon",Amazon is trading at 1690 5.75 down 0.04%
opening bell,"Alexa,open opening bell",what stock price would you like me to look up a company name like Amazon or say help for additional instructions
opening bell,"Alexa,many more which would you like",sorry I can't find information about many more which would you like
opening bell,"Alexa, stop",
this day in history,"Alexa, open this day in history",welcome to this day in history from history.com what happened on this day in history from airport security screening
this day in history,"Alexa,open this day in history",sorry the history skill can't help you with that yet what day in history would you like to hear about you like to hear about
this day in history,"Alexa,tomorrow",hello history fans it's Thursday June 7th what happened on this day in history from airport security screening to new cyber security strategies the Department of Homeland Security has taken many precautions
this day in history,"Alexa,to hear about what",sorry the history skill can't help you with that yet what day in history would you like to hear about
this day in history,"Alexa,any other day in history you can say things like tomorrow",hello history fans it's Thursday June 7th what happened on this day in history from airport security screening to new cyber security strategies the Department of Homeland Security has taken many precautions
this day in history,"Alexa,June 6th what month",sorry the history skill can't help you with that yet what day in history would you like to hear about
this day in history,"Alexa, stop",goodbye
Inspire me,"Alexa, open Inspire me",here's some inspirational words from Jennifer Lopez
Inspire me,"Alexa,Alexa inspire me",to hear the different clips available say with speakers or say stop
Inspire me,"Alexa,what's my favorite",I don't know but I'm sure you have great taste
Inspire me,"Alexa,for the speaker you want by",here's some inspirational words from Jay Shetty
Inspire me,"Alexa, stop",have a wonderful day
stop breathe think,"Alexa, open stop breathe think",welcome back say play meditation to begin today's meditation of the day breathe in chill new
stop breathe think,"Alexa,play meditation to begin today 's meditation welcome to stop",playing breathing chill which is 6 minutes long
stop breathe think,"Alexa,open stop breathe think",you were listening to breathing chill new would you like to resume you can say yes to resume or no to play a new medication
stop breathe think,"Alexa,play meditation ",resuming freeze and chill 10 seconds into the meditation here we go a little space to breathe and chill
stop breathe think,"Alexa, stop",
Airport Security Line Wait Times,"Alexa, open Airport Security Line Wait Times",how can I help you can ask for wait times at security for over
Airport Security Line Wait Times,"Alexa,for wait time for any Airport terminal what can I help you with what can I help you",Oakland Airport wait time currently not supported
Airport Security Line Wait Times,"Alexa,open Airport Security Line Wait Times",how can I help you can ask for wait times at security for over 450 airports in the US
Airport Security Line Wait Times,"Alexa,wait time for Denver International Airport",what terminal at een what terminal you can choose from north-south a bridge
Airport Security Line Wait Times,"Alexa, stop",goodbye
