name,question,response
Bartender,"Alexa, help",you can ask me how to make a drink by saying how do I make a White Russian or find one that uses certain ingredients like something with bourbon
Bartender,"Alexa, stop",okay see you next time
Starbucks,"Alexa, open Starbucks",I'm sorry but before I can place your order you have to authorize this skill to help you get started I've added a link to the authorization process in your Alexa app when you're ready
Starbucks,"Alexa, help",I can help you with specific questions like how do I connect Bluetooth to learn more about what I can do take a look at the things to try section in the Alexa app
Starbucks,"Alexa, stop",
Domino's Pizza,"Alexa, open Domino's Pizza",welcome to Domino's would you like to place an order or track an order
Domino's Pizza,"Alexa, help",how I can place a new order reorder your easy order or your most recent order or tracking order you can also turn on tracker notifications through the Alexa app how can I help
Domino's Pizza,"Alexa, stop",okay see you next time goodbye
Capital One,"Alexa, open Capital One",Fortuna to finish linking your Capital One account in your Alexa app you'll know you're done when you see a screen that says your Capital One skill is successfully linked
Capital One,"Alexa, help",
Capital One,"Alexa, stop",
7 minute workout,"Alexa, open 7 minute workout",welcome to 7 Minute Workout when you are ready just say start work out when you are ready to begin
7 minute workout,"Alexa, help",get ready to start your 7 Minute Workout for a healthier life you will perform swelled exercises in 30 second intervals with each exercise focusing on a specific muscle group push yourself as hard as you can but be patient with your progress and focus on form over
7 minute workout,"Alexa, stop",goodbye
mayo clinic first aid,"Alexa, open mayo clinic first aid",welcome back to Mayo first what can I help you with what can I help you
mayo clinic first aid,"Alexa, help",Mayo Clinic first aid provide self care instructions for dozens of everyday mishaps and other situations for example you can ask how do I treat my baby's fever or tell me about spider bites or help for a burn follow the prompts to learn more about that topic
mayo clinic first aid,"Alexa, stop",counseling
opening bell,"Alexa, open opening bell",what stock price would you like me to look up a company name like Amazon or say help for addition
opening bell,"Alexa, help",help I can tell you the stock price of any publicly traded companies such as Apple Tesla Microsoft and many more which would you like
opening bell,"Alexa, stop",okay
this day in history,"Alexa, open this day in history",welcome back to this day in history from history.com what month and day would you like to hear about
this day in history,"Alexa, help",the history skill can tell you about events that happened today or any other day in history you can say things like tomorrow or June 6th what month and day would you like to hear about what month
this day in history,"Alexa, stop",goodbye
Inspire me,"Alexa, open Inspire me",here's some inspirational words from Charles Bukowski
Inspire me,"Alexa, help",help okay whenever you need a bit of inspiration just say Alexa inspire me and I'll play you an inspirational audio clip to hear your favorite Clips just ask for the speaker you want by name
Inspire me,"Alexa, stop",have a wonderful day
stop breathe think,"Alexa, open stop breathe think",welcome back to guided meditations by stop breathe and think today's meditation is relax ground and clear say play meditation to begin
stop breathe think,"Alexa, help",say play meditation to begin today's meditation welcome to stop and think you can say
stop breathe think,"Alexa, stop",goodbye
Airport Security Line Wait Times,"Alexa, open Airport Security Line Wait Times",how can I help you can ask for wait times at security for over
Airport Security Line Wait Times,"Alexa, help",you can ask for wait time for any Airport terminal what can I help you with what can I help you with
Airport Security Line Wait Times,"Alexa, stop",goodbye
